Word/Token,Frequency Count,LEXI System Classification,Target Suggestion
code,19491,Team Standard Term,N/A (Valid Domain Keyword)
error,13608,Team Standard Term,N/A (Valid Domain Keyword)
file,11878,Team Standard Term,N/A (Valid Domain Keyword)
data,9328,Team Standard Term,N/A (Valid Domain Keyword)
value,7708,Team Standard Term,N/A (Valid Domain Keyword)
following,6390,Team Standard Term,N/A (Valid Domain Keyword)
please,6028,Team Standard Term,N/A (Valid Domain Keyword)
tried,5828,Team Standard Term,N/A (Valid Domain Keyword)
name,5570,Team Standard Term,N/A (Valid Domain Keyword)
thanks,5512,Team Standard Term,N/A (Valid Domain Keyword)
example,5510,Team Standard Term,N/A (Valid Domain Keyword)
problem,5505,Team Standard Term,N/A (Valid Domain Keyword)
create,5481,Team Standard Term,N/A (Valid Domain Keyword)
user,5318,Team Standard Term,N/A (Valid Domain Keyword)
find,5298,Team Standard Term,N/A (Valid Domain Keyword)
number,5246,Team Standard Term,N/A (Valid Domain Keyword)
python,5148,Team Standard Term,N/A (Valid Domain Keyword)
time,5022,Team Standard Term,N/A (Valid Domain Keyword)
line,4953,Team Standard Term,N/A (Valid Domain Keyword)
method,4866,Team Standard Term,N/A (Valid Domain Keyword)
first,4779,Team Standard Term,N/A (Valid Domain Keyword)
working,4679,Team Standard Term,N/A (Valid Domain Keyword)
image,4643,Team Standard Term,N/A (Valid Domain Keyword)
object,4602,Team Standard Term,N/A (Valid Domain Keyword)
text,4521,Team Standard Term,N/A (Valid Domain Keyword)
type,4463,Team Standard Term,N/A (Valid Domain Keyword)
output,4367,Team Standard Term,N/A (Valid Domain Keyword)
android,4352,Team Standard Term,N/A (Valid Domain Keyword)
table,4279,Team Standard Term,N/A (Valid Domain Keyword)
project,3967,Team Standard Term,N/A (Valid Domain Keyword)
input,3869,Team Standard Term,N/A (Valid Domain Keyword)
getting,3772,Team Standard Term,N/A (Valid Domain Keyword)
page,3685,Team Standard Term,N/A (Valid Domain Keyword)
button,3604,Team Standard Term,N/A (Valid Domain Keyword)
view,3603,Team Standard Term,N/A (Valid Domain Keyword)
server,3589,Team Standard Term,N/A (Valid Domain Keyword)
question,3556,Team Standard Term,N/A (Valid Domain Keyword)
program,3531,Team Standard Term,N/A (Valid Domain Keyword)
application,3488,Team Standard Term,N/A (Valid Domain Keyword)
result,3479,Team Standard Term,N/A (Valid Domain Keyword)
change,3472,Team Standard Term,N/A (Valid Domain Keyword)
different,3312,Team Standard Term,N/A (Valid Domain Keyword)
without,3278,Team Standard Term,N/A (Valid Domain Keyword)
variable,3275,Team Standard Term,N/A (Valid Domain Keyword)
works,3215,Team Standard Term,N/A (Valid Domain Keyword)
possible,3197,Team Standard Term,N/A (Valid Domain Keyword)
however,3183,Team Standard Term,N/A (Valid Domain Keyword)
print,3162,Team Standard Term,N/A (Valid Domain Keyword)
another,3151,Team Standard Term,N/A (Valid Domain Keyword)
date,2947,Team Standard Term,N/A (Valid Domain Keyword)
found,2889,Team Standard Term,N/A (Valid Domain Keyword)
case,2885,Team Standard Term,N/A (Valid Domain Keyword)
write,2837,Team Standard Term,N/A (Valid Domain Keyword)
test,2824,Team Standard Term,N/A (Valid Domain Keyword)
anyone,2767,Team Standard Term,N/A (Valid Domain Keyword)
call,2747,Team Standard Term,N/A (Valid Domain Keyword)
select,2731,Team Standard Term,N/A (Valid Domain Keyword)
version,2712,Team Standard Term,N/A (Valid Domain Keyword)
wrong,2667,Team Standard Term,N/A (Valid Domain Keyword)
column,2660,Team Standard Term,N/A (Valid Domain Keyword)
able,2603,Team Standard Term,N/A (Valid Domain Keyword)
check,2590,Team Standard Term,N/A (Valid Domain Keyword)
loop,2545,Team Standard Term,N/A (Valid Domain Keyword)
simple,2529,Team Standard Term,N/A (Valid Domain Keyword)
show,2507,Team Standard Term,N/A (Valid Domain Keyword)
understand,2504,Team Standard Term,N/A (Valid Domain Keyword)
read,2492,Team Standard Term,N/A (Valid Domain Keyword)
cannot,2472,Team Standard Term,N/A (Valid Domain Keyword)
command,2468,Team Standard Term,N/A (Valid Domain Keyword)
form,2465,Team Standard Term,N/A (Valid Domain Keyword)
query,2440,Team Standard Term,N/A (Valid Domain Keyword)
running,2428,Team Standard Term,N/A (Valid Domain Keyword)
script,2423,Team Standard Term,N/A (Valid Domain Keyword)
right,2406,Team Standard Term,N/A (Valid Domain Keyword)
inside,2382,Team Standard Term,N/A (Valid Domain Keyword)
issue,2345,Team Standard Term,N/A (Valid Domain Keyword)
main,2345,Team Standard Term,N/A (Valid Domain Keyword)
message,2324,Team Standard Term,N/A (Valid Domain Keyword)
studio,2320,Team Standard Term,N/A (Valid Domain Keyword)
convert,2314,Team Standard Term,N/A (Valid Domain Keyword)
multiple,2311,Team Standard Term,N/A (Valid Domain Keyword)
enter,2297,Team Standard Term,N/A (Valid Domain Keyword)
access,2251,Team Standard Term,N/A (Valid Domain Keyword)
even,2229,Team Standard Term,N/A (Valid Domain Keyword)
every,2175,Team Standard Term,N/A (Valid Domain Keyword)
build,2172,Team Standard Term,N/A (Valid Domain Keyword)
solution,2142,Team Standard Term,N/A (Valid Domain Keyword)
still,2131,Team Standard Term,N/A (Valid Domain Keyword)
click,2128,Team Standard Term,N/A (Valid Domain Keyword)
start,2124,Team Standard Term,N/A (Valid Domain Keyword)
thank,2073,Team Standard Term,N/A (Valid Domain Keyword)
display,2036,Team Standard Term,N/A (Valid Domain Keyword)
include,2027,Team Standard Term,N/A (Valid Domain Keyword)
element,1984,Team Standard Term,N/A (Valid Domain Keyword)
someone,1954,Team Standard Term,N/A (Valid Domain Keyword)
sure,1938,Team Standard Term,N/A (Valid Domain Keyword)
order,1932,Team Standard Term,N/A (Valid Domain Keyword)
advance,1924,Team Standard Term,N/A (Valid Domain Keyword)
fine,1920,Team Standard Term,N/A (Valid Domain Keyword)
request,1904,Team Standard Term,N/A (Valid Domain Keyword)
instead,1903,Team Standard Term,N/A (Valid Domain Keyword)
many,1883,Team Standard Term,N/A (Valid Domain Keyword)
second,1861,Team Standard Term,N/A (Valid Domain Keyword)
update,1813,Team Standard Term,N/A (Valid Domain Keyword)
open,1791,Team Standard Term,N/A (Valid Domain Keyword)
format,1730,Team Standard Term,N/A (Valid Domain Keyword)
specific,1716,Team Standard Term,N/A (Valid Domain Keyword)
remove,1709,Team Standard Term,N/A (Valid Domain Keyword)
correct,1706,Team Standard Term,N/A (Valid Domain Keyword)
component,1703,Team Standard Term,N/A (Valid Domain Keyword)
given,1664,Team Standard Term,N/A (Valid Domain Keyword)
idea,1663,Team Standard Term,N/A (Valid Domain Keyword)
size,1656,Team Standard Term,N/A (Valid Domain Keyword)
already,1652,Team Standard Term,N/A (Valid Domain Keyword)
really,1648,Team Standard Term,N/A (Valid Domain Keyword)
link,1612,Team Standard Term,N/A (Valid Domain Keyword)
answer,1606,Team Standard Term,N/A (Valid Domain Keyword)
default,1602,Team Standard Term,N/A (Valid Domain Keyword)
angular,1601,Team Standard Term,N/A (Valid Domain Keyword)
difference,1592,Team Standard Term,N/A (Valid Domain Keyword)
based,1568,Team Standard Term,N/A (Valid Domain Keyword)
last,1562,Team Standard Term,N/A (Valid Domain Keyword)
statement,1560,Team Standard Term,N/A (Valid Domain Keyword)
service,1550,Team Standard Term,N/A (Valid Domain Keyword)
part,1541,Team Standard Term,N/A (Valid Domain Keyword)
count,1540,Team Standard Term,N/A (Valid Domain Keyword)
next,1538,Team Standard Term,N/A (Valid Domain Keyword)
description,1536,Team Standard Term,N/A (Valid Domain Keyword)
current,1535,Team Standard Term,N/A (Valid Domain Keyword)
folder,1534,Team Standard Term,N/A (Valid Domain Keyword)
exception,1531,Team Standard Term,N/A (Valid Domain Keyword)
store,1530,Team Standard Term,N/A (Valid Domain Keyword)
best,1521,Team Standard Term,N/A (Valid Domain Keyword)
single,1507,Team Standard Term,N/A (Valid Domain Keyword)
